"data_type","year","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation",2009,"ACTIBK","2.01.003.00","mwk.personal_accomplishment","agreement",75
"organisation",2009,"ACTIBK","2.01.004.00","mwk.involved_decisions","agreement",61
"organisation",2009,"ACTIBK","2.01.005.00","mwk.choice_how","agreement",75
"organisation",2009,"ACTIBK","2.02.001.00","obj.understanding_objectives","agreement",87
"organisation",2009,"ACTIBK","2.02.002.00","obj.understanding_purpose","agreement",90
"organisation",2009,"ACTIBK","2.02.003.00","obj.contribute_toward_objectives","agreement",86
"organisation",2009,"ACTIBK","2.03.001.00","mgr.manager_motivates","agreement",70
"organisation",2009,"ACTIBK","2.03.004.00","mgr.manager_considerate","agreement",85
"organisation",2009,"ACTIBK","2.03.005.00","mgr.manager_open","agreement",81
"organisation",2009,"ACTIBK","2.03.006.00","mgr.understand_contribution","agreement",65
"organisation",2009,"ACTIBK","2.03.007.00","mgr.confidence_manger","agreement",80
"organisation",2009,"ACTIBK","2.03.008.00","mgr.manager_recognises","agreement",78
"organisation",2009,"ACTIBK","2.03.009.00","mgr.regular_feedback","agreement",61
"organisation",2009,"ACTIBK","2.03.010.00","mgr.feedback_helps","agreement",61
"organisation",2009,"ACTIBK","2.03.011.00","mgr.performance_fairly","agreement",66
"organisation",2009,"ACTIBK","2.03.013.00","mgr.poor_performance","agreement",40
"organisation",2009,"ACTIBK","2.04.001.00","tem.relied_upon","agreement",85
"organisation",2009,"ACTIBK","2.04.002.00","tem.improve_service","agreement",86
"organisation",2009,"ACTIBK","2.04.003.00","mtm.team_encouraged","agreement",87
"organisation",2009,"ACTIBK","2.05.001.00","ldv.access_learning","agreement",73
"organisation",2009,"ACTIBK","2.05.002.00","ldv.improve_performance","agreement",69
"organisation",2009,"ACTIBK","2.05.003.00","ldv.opportunities_career","agreement",60
"organisation",2009,"ACTIBK","2.05.004.00","ldv.helping_career","agreement",52
"organisation",2009,"ACTIBK","2.06.001.00","ift.treated_fairly","agreement",85
"organisation",2009,"ACTIBK","2.06.002.00","ift.treated_respect","agreement",89
"organisation",2009,"ACTIBK","2.06.003.00","ift.work_valued","agreement",70
"organisation",2009,"ACTIBK","2.06.004.00","ift.respects_differences","agreement",85
"organisation",2009,"ACTIBK","2.07.001.00","rwk.information_needed","agreement",74
"organisation",2009,"ACTIBK","2.07.002.00","rwk.work_objectives","agreement",70
"organisation",2009,"ACTIBK","2.07.003.00","rwk.clear_expectations","agreement",83
"organisation",2009,"ACTIBK","2.07.004.00","rwk.skills_needed","agreement",88
"organisation",2009,"ACTIBK","2.07.005.00","rwk.tools_needed","agreement",74
"organisation",2009,"ACTIBK","2.07.006.00","rwk.acceptable_workload","agreement",72
"organisation",2009,"ACTIBK","2.07.007.00","rwk.work_life_balance","agreement",80
"organisation",2009,"ACTIBK","2.08.001.00","pay.reflects_performance","agreement",27
"organisation",2009,"ACTIBK","2.08.002.00","pay.satisfied_benefits","agreement",40
"organisation",2009,"ACTIBK","2.08.003.00","pay.pay_reasonable","agreement",20
"organisation",2009,"ACTIBK","2.09.001.00","lmc.seniors_visible","agreement",80
"organisation",2009,"ACTIBK","2.09.002.00","lmc.seniors_consistent_values","agreement",65
"organisation",2009,"ACTIBK","2.09.003.00","lmc.clear_vision","agreement",64
