"uid_qm_txt","uid_qm_num","regex","label"
"tpl.managers_role_model",,"managers.*area.*role.model","b60. managers in my area, directorate or division actively role model the behaviours set out in the civil service leadership statement (% always or most of the time)"
"tpl.organisation_inclusive",,"organisation.*inclusive","[my organisation] is committed to creating a diverse and inclusive workplace (% selecting 'strongly agree' or 'agree')"
"tpl.organisation_we_they",,"organisation.*we.*they","b60. when i talk about [my organisation] i say ""we"" rather than ""they"
"tpl.performance_things_done",,"performance.*things.done","b60. my performance is evaluated based on whether i get things done, rather than solely follow process"
"tpl.reform_improving",,"reform.*improving","b59i. civil service reform is improving the way i work in my local area (% selecting 'strongly agree' or 'agree')"
"tpl.senior_lead_confidence",,"senior.*lead.*confidence","b66 [senior managers] lead [my organisation] with confidence"
"tpl.seniors_empower",,"senior.*empower","b68 [my organisation's senior managers] empower teams to deliver"
"tpl.seniors_inspire",,"senior.*inspire","b64 [senior managers] inspire people across [my organisation] to do their best"
"tpl.seniors_role_model",,"senior.*role.model","b59 [senior managers] in [my organisation] actively role model the behaviours set out in the civil service leadership statement"
"tpl.speak_up_risk",,"speak.up","b56 in [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk (% selecting 'strongly agree' or 'agree')"
"tpl.supervisor_role_model",,"my.manager.*role.model","b60 my manager actively role models the behaviours set out in the civil service leadership statement"
"tpl.technology_collaborate",,"technology.*collaborate","b59b the technology provided by [my organisation] enables me to easily connect and collaborate with the colleagues that i need to for me to do my job effectively, from any location (% selecting 'strongly agree' or 'agree')"
"tpl.trusted_job",,"trusted.*carry.out","b54 i am trusted to carry out my job effectively (% selecting 'strongly agree' or 'agree')"
"tpl.try_new_ideas",,"new.idea","b55 i believe i would be supported if i try a new idea, even if it may not work (% selecting 'strongly agree' or 'agree')"
"twk.improve_service",,"team.*improve","b19 the people in my team work together to find ways to improve the service we provide (% selecting 'strongly agree' or 'agree')"
"twk.relied_upon",,"team.*relied.upon","b18 the people in my team can be relied upon to help when things get difficult in my job (% selecting 'strongly agree' or 'agree')"
"twk.team_encouraged",,"team.*encouraged","b20 the people in my team are encouraged to come up with new and better ways of doing things (% selecting 'strongly agree' or 'agree')"
"wlb.anxious_yesterday",,"anxious.*yesterday","overall, how anxious did you feel yesterday? (% selecting '6 to 10', where 10 is the most anxious)"
"wlb.discuss_wellbeing",,"discuss.*wellbeing","how often do you discuss your personal wellbeing and or work-related stress with your manager? (% selecting 'weekly' or 'monthly')"
"wlb.feel_lonely",,"feel.lonely","w07. how often do you feel lonely? (% 'often or always')"
"wlb.happy_yesterday",,"happy.*yesterday","overall, how happy did you feel yesterday? (% selecting '7 to 10', where 10 is the most happy)"
"wlb.life_worthwhile",,"life.*worthwhile","overall, to what extent do you feel that things you do in your life are worthwhile? (% selecting '7 to 10', where 10 is the most worthwhile)"
"wlb.long_covid",,"long.covid","cv3 would you describe yourself as having 'long covid', that is, you are still experiencing symptoms more than 4 weeks after you first had covid-19, that are not explained by something else? (% selecting 'yes')"
"wlb.mental_health",,"rate.*mental.health","in general, how would you rate your overall mental health now? (% selecting 'excellent', 'very good' or 'good')"
"wlb.organisation_support",,"organisation.*wellbeing","[my organisation] provides good support for employee health, wellbeing and resilience (% selecting 'strongly agree' or 'agree')"
"wlb.perma_index",,"perma","perma index (high score means high flourishing)"
"wlb.physical_health",,"rate.*physical.health","in general, how would you rate your overall physical health now? (% selecting 'excellent', 'very good' or 'good')"
"wlb.satisfied_life",,"satisfied.*life","overall, how satisfied are you with your life nowadays? (% selecting '7 to 10', where 10 is the most satisfied)"
"wlb.stress_index",,"proxy.stress","hse_index proxy stress index (high score means high stress)"
"wlb.team_care",,"team.*care.*wellbeing","w08. the people in my team genuinely care about my wellbeing (% strongly agree or agree)"
