"organisation","year_from","year_to","org_codes","dept_groups"
"Department for Environment, Food & Rural Affairs",2014,2018,"DEFRA","Environment, Food & Rural Affairs"
"Department for Environment, Food and Rural Affairs",2012,2024,"DEFRA0000, DEFRA","Environment, Food and Rural Affairs, Environemnt, Food and Rural Affairs"
"Department for Environment, Food and Rural Affairs (excluding agencies)",2010,2011,,"Environment, Food and Rural Affairs, Department for, Environment, Food and Rural Affairs"
"Department for Exiting the European Union",2016,2019,"DEEU, DEXEU, DEXEU0000","Department for Exiting the European Union, Exiting the European Union"
"Department for Health (excluding agencies)",2011,2011,,"Health"
"Department for International Development",2009,2019,"DFID, DFID0000","International Development, International Development, Department for, Department for International Development"
"Department for International Trade",2016,2022,"DIT, DIT0000","Department for International Trade, International Trade"
"Department for Levelling Up, Housing and Communities",2022,2023,"DLUHC","Levelling Up, Housing and Communities"
"Department for Science, Innovation and Technology",2023,2024,"DSIT","Department for Science, Innovation and Technology"
"Department for Transport",2009,2024,"DFT, DFT0000","Transport"
"Department for Transport (excluding Agencies)",2011,2011,,"Transport"
"Department for Transport (excluding agencies)",2010,2010,,"Transport, Department for"
"Department for Work and Pensions",2009,2024,"DWP, DWP0000","Work and Pensions"
"Department for Work and Pensions (including Jobcentre Plus and Pensions, Disability & Carers Service)",2010,2010,,"Work and Pensions, Department for"
"Department for the Environment, Food and Rural Affairs",2009,2009,,"Environment, Food and Rural Affairs"
"Department of Energy & Climate Change",2012,2013,,"Energy and Climate Change, Energy & Climate Change"
"Department of Energy and Climate Change",2009,2015,,"Energy and Climate Change, Department of Energy and Climate Change"
"Department of Health",2009,2017,"DH","Health"
"Department of Health (excluding agencies)",2010,2010,,"Health, Department of"
"Department of Health and Social Care",2018,2024,"DHSC, DHSC0000","Health and Social Care"
"Deptartment of Energy & Climate Change",2010,2010,,"Energy and Climate Change< Department of"
"Disclosure Scotland",2009,2024,"DS, DS0000","Scottish Government"
"Driver and Vehicle Licensing Agency",2009,2024,"DVLA, DVLA0000","Transport, Transport, Department for"
"Driver and Vehicle Standards Agency",2014,2024,"DVSA, DVSA0000","Transport"
"Driving Standards Agency",2009,2013,,"Transport, Transport, Department for"
"Dstl",2010,2024,"DSTL, DSTL0000","Defence, Ministry of, Defence"
"Education Scotland",2011,2024,"ES, ES0000","Scottish Government"
"Estyn",2010,2024,"ESTYN, ESTYN0000","Welsh Assembly Government, Welsh Government, Estyn"
"Export Credit Guarantee Department",2009,2009,,"Export Credit Guarantee Department"
"Export Credits Guarantee Department",2010,2011,,"Export Credits Guarantee Department"
"FCDO Services",2020,2024,"FCDOS","Foreign, Commonwealth and Development Office"
"FCO Services",2009,2019,"FCOS, FCOS0000","Foreign and Commonwealth Office, Foreign & Commonwealth Office"
"Fire Service College",2009,2011,,"Communities and Local Government, Communities and Local Government, Department for"
