regex,uid_org_txt,organisation_name,prepend_the
meat.hygiene,MEATHY,Meat Hygiene Service,TRUE
medicines.*products,MEDPRD,Medicines and Healthcare products Regulatory Agency,TRUE
met.office,METOFF,Met Office,TRUE
ministry.*defence,MINDEF,Ministry of Defence,TRUE
^ministry.*justice$|^ministry.*justice.*(hq|excluding|headquarters),MINJST,Ministry of Justice,TRUE
maritime.*coastguard,MRTCST,Maritime and Coastguard Agency,TRUE
maritime.*fisheries,MRTFSH,Maritime and Fisheries Agency,TRUE
^national.archives.*scotland,NARCSC,National Archives of Scotland,TRUE
^the.national.archives$,NATARC,The National Archives,FALSE
^national.crime,NATCRM,National Crime Agency,TRUE
^national.infrastructure,NATINF,National Infrastructure Commission,TRUE
^national.measurement,NATMSR,National Measurement and Regulation Office,TRUE
^national.probation,NATPRB,National Probation Service,TRUE
^national.saving,NATSAV,National Savings and Investments,FALSE
^nhs.test.*trace,NHSTAT,NHS Test and Trace,FALSE
^national.offender.*hq,NOMSHQ,National Offender Management Service headquarters,TRUE
^national.offender.*service$,NTOFSV,National Offender Management Service,TRUE
^national.records.*scotland,NTRCSC,National Records of Scotland,TRUE
^national.school,NTSCGV,National School of Government,TRUE
^ofgem$|^office.*gas,OFGEM,Ofgem,FALSE
^office.*government.commerce,OFGVCM,Office of Government Commerce,TRUE
^office.*public.guard,OFPBGD,Office of the Public Guardian,TRUE
^ofqual$|^office.*qualifications,OFQUAL,Ofqual,FALSE
^office.*rail,OFRLRD,Office of Rail and Road,TRUE
^office.*scottish.charity,OFSCCR,Office of the Scottish Charity Regulator,TRUE
^ofsted$,OFSTED,Ofsted,FALSE
^water.*services,OFWAT,Ofwat,FALSE
^office.*statistics,ONS,Office for National Statistics,TRUE
^ordnance,ORDSRV,Ordnance Survey,TRUE
planning.inspect,PLNISP,Planning Inspectorate,TRUE
^probation.service$,PRBSRV,Probation Service,TRUE
^hm.prison.service$,PRISON,HM Prison Service,FALSE
prison.*probation.*(hq|headquarters),PRPBHQ,HM Prison and Probation Service Headquarters,FALSE
passport.office,PSSOFF,HM Passport Office,FALSE
^public.health,PUBHEL,Public Health England,FALSE
^registers.*scotland,REGSCT,Registers of Scotland,TRUE
^revenue.scotland,REVSCT,Revenue Scotland,FALSE
^rural.payments,RURPAY,Rural Payments Agency,TRUE
royal.parks,RYLPRK,The Royal Parks,FALSE
^scottish.forestry,SCFRST,Scottish Forestry,FALSE
science.*technology,SCITCH,"Department for Science, Innovation and Technology",TRUE
^social.security.scotland,SCSESC,Social Security Scotland,FALSE
^scottish.court.*trib,SCTCTR,Scottish Courts and Tribunals Service,TRUE
^scottish.courts?.service,SCTCTS,Scottish Court Service,TRUE
^scottish.government,SCTGVT,Scottish Government,TRUE
^scottish.housing,SCTHUS,Scottish Housing Regulator,TRUE
^scotland.office.*general$,SCTOFF,Scotland Office and Office of the Advocate General,TRUE
^scottish.*pensions,SCTPEN,Scottish Public Pensions Agency,TRUE
^scottish.prison,SCTPRS,Scottish Prison Service,TRUE
^scottish.tribunals,SCTTRB,Scottish Tribunals Service,TRUE
^scotland.*wales.office$,SCTWLS,"Scotland Office, Office of the Advocate General and Wales Office",TRUE
^scotland.*wales.*north.*ireland,SCWLNI,"Scotland, Wales and Northern Ireland Offices, and the Office of the Advocate General",TRUE
^skil.*funding,SKLFND,Skills Funding Agency,TRUE
^serious.fraud,SRSFRD,Serious Fraud Office,TRUE
statistics.authority.*(group|and|including),STATGP,UK Statistics Agency (group),TRUE
^student.awards.*scotland,STAWSC,Student Awards Agency Scotland,TRUE
^submarine.delivery,SUBDEL,Submarine Delivery Agency,TRUE
^social.work.inspection,SWISPE,Social Work Inspection Agency,TRUE
^tribunals?.service$,TRBSRV,Tribunals Service,TRUE
^transport.scotland$,TRNSCT,Transport Scotland,FALSE
^department.*transport,TRNSPT,Department for Transport,TRUE
^tsol$,TSOL,Treasury Solicitor's Department,TRUE
border.agency,UKBRDA,UK Border Agency,TRUE
debt.management,UKDMO,UK Debt Management Office,TRUE
space.agency,UKSPCE,UK Space Agency,TRUE
statistics.authority$,UKSTAT,UK Statistics Agency,TRUE
^uk.trade,UKTRDI,UK Trade and Investment,FALSE
^valuation.office,VALOFF,Valuation Office Agency,TRUE
^vehicle.certification,VEHCRT,Vehicle Certification Agency,TRUE
^vehicle.*operator,VEHOPP,Vehicle and Operator Services Agency,TRUE
^veterinary.lab,VETLAB,Veterinary Laboratories Agency,TRUE
^veterinary.medicine,VETMED,Veterinary Medicines Directorate,TRUE
visas.*immigration,VISAIM,Home Office: UK Visas and Immigration,TRUE
^welsh.*government,WLSGVT,Welsh Government,TRUE
^wales.office$,WLSOFF,Wales Office,TRUE
^welsh.revenue,WLSREV,Welsh Revenue Authority,TRUE
^wilton.park,WLTPRK,Wilton Park,FALSE
work.*pensions,WRKPEN,Department for Work and Pensions,TRUE
