"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",78.99999999999999
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",89
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",69
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",55.00000000000001
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",73
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",27
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",32.99999999999999
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",26
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",63
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",59
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",56.00000000000001
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",54
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",41
"organisation","ACAS","2.09.007.00","lmc.change_for_better","agreement",39
"organisation","ACAS","2.09.008.00","lmc.kept_informed","agreement",71
"organisation","ACAS","2.09.009.00","lmc.contribute_views","agreement",43.00000000000001
"organisation","ACAS","2.09.010.00","lmc.safe_to_challenge","agreement",52
"organisation","ACAS","2.10.001.00","eng.proud_to_tell","agreement",75
"organisation","ACAS","2.10.002.00","eng.recommend_organisation","agreement",63
"organisation","ACAS","2.10.003.00","eng.personal_attachment","agreement",62
"organisation","ACAS","2.10.004.00","eng.organisation_inspires","agreement",58.00000000000001
"organisation","ACAS","2.10.005.00","eng.organisation_motivates","agreement",56.00000000000001
"organisation","ACAS","2.11.001.00","act.senior_action","agreement",50
"organisation","ACAS","2.11.003.00","act.been_taken","agreement",35
"organisation","ACAS","3.01.001.00","tpl.trusted_job","agreement",89
"organisation","ACAS","3.01.002.00","tpl.try_new_ideas","agreement",65.99999999999999
"organisation","ACAS","3.01.006.00","tpl.speak_up_risk","agreement",65.99999999999999
"organisation","ACAS","3.01.007.00","tpl.challenge_inappropriate","agreement",67
"organisation","ACAS","3.01.008.00","tpl.organisation_inclusive","agreement",77
"organisation","ACAS","3.02.009.00","tpl.managers_role_model","agreement",70
"organisation","ACAS","3.03.001.00","tpl.aware_vision","agreement",49
"organisation","ACAS","4.01.001.01","int.leave_asap","int_leave_asap",5
"organisation","ACAS","4.01.001.02","int.leave_next_12m","int_leave_12m",12.000000000000002
"organisation","ACAS","4.01.001.03","int.stay_next_year","int_stay_1yr",32
"organisation","ACAS","4.01.001.04","int.stay_three_years","int_stay_3yr",51
"organisation","ACAS","5.01.001.00","csc.aware_concern","yes",81
"organisation","ACAS","5.01.002.00","csc.aware_code","yes",55.00000000000001
"organisation","ACAS","5.01.003.00","csc.confident_code","yes",73
"organisation","ACAS","6.01.001.00","dhb.experienced_discrimination","yes",10
"organisation","ACAS","6.02.001.00","dhb.experienced_bullying","yes",8
"organisation","ACAS","6.02.004.00","dhb.reported_bullying","yes",41
"organisation","ACAS","6.04.002.00","dhb.appropriate_action","yes",16
"organisation","ACAS","6.04.003.00","dhb.bullying_has_stopped","yes",37
"organisation","ACAS","6.04.004.00","dhb.culture_continue","yes",73
"organisation","ACAS","6.04.005.00","dhb.punished_reporting","yes",40
"organisation","ACAS","7.01.001.00","wlb.perma_index","index",74
"organisation","ACAS","7.01.002.00","wlb.stress_index","index",27
"organisation","ACAS","7.02.001.00","wlb.satisfied_life","num_07_10",56.99999999999999
"organisation","ACAS","7.02.002.00","wlb.life_worthwhile","num_07_10",68
"organisation","ACAS","7.02.003.00","wlb.happy_yesterday","num_07_10",56.99999999999999
"organisation","ACAS","7.02.004.00","wlb.anxious_yesterday","num_06_10",41
"organisation","ACAS","7.03.001.00","wlb.mental_health","excellent_good",68
"organisation","ACAS","7.03.002.00","wlb.physical_health","excellent_good",64
"organisation","ACAS","7.03.003.00","wlb.feel_lonely","always_often",5
"organisation","ACAS","7.03.004.00","wlb.team_care","agreement",77
"organisation","ACTIBK","0.00.002.00","meta.response_rate","response_rate",76
"organisation","ACTIBK","1.01.001.00","000.engagement_index","index",67
"organisation","ACTIBK","1.02.001.00","000.my_work","theme",77.99999999999999
"organisation","ACTIBK","1.02.002.00","000.objectives_purpose","theme",86.00000000000001
"organisation","ACTIBK","1.02.003.00","000.my_manager","theme",74
"organisation","ACTIBK","1.02.004.00","000.my_team","theme",81
"organisation","ACTIBK","1.02.005.00","000.learning_development","theme",56.00000000000001
"organisation","ACTIBK","1.02.006.00","000.inclusion_treatment","theme",84.00000000000001
"organisation","ACTIBK","1.02.007.00","000.resources_workload","theme",80
"organisation","ACTIBK","1.02.008.00","000.pay_benefits","theme",53
"organisation","ACTIBK","1.02.009.00","000.leadership_change","theme",65.99999999999999
"organisation","ACTIBK","2.01.001.00","mwk.interested_work","agreement",87.00000000000001
"organisation","ACTIBK","2.01.002.00","mwk.challenging_work","agreement",81
"organisation","ACTIBK","2.01.003.00","mwk.personal_accomplishment","agreement",73
"organisation","ACTIBK","2.01.004.00","mwk.involved_decisions","agreement",67
"organisation","ACTIBK","2.01.005.00","mwk.choice_how","agreement",85.00000000000001
