"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","1.01.001.00","000.engagement_index","index",65
"organisation","ACAS","1.02.001.00","000.my_work","theme",73
"organisation","ACAS","1.02.002.00","000.objectives_purpose","theme",91
"organisation","ACAS","1.02.003.00","000.my_manager","theme",69
"organisation","ACAS","1.02.004.00","000.my_team","theme",77.99999999999999
"organisation","ACAS","1.02.005.00","000.learning_development","theme",51
"organisation","ACAS","1.02.006.00","000.inclusion_treatment","theme",77
"organisation","ACAS","1.02.007.00","000.resources_workload","theme",78.99999999999999
"organisation","ACAS","1.02.008.00","000.pay_benefits","theme",38
"organisation","ACAS","1.02.009.00","000.leadership_change","theme",45
"organisation","ACAS","2.01.001.00","mwk.interested_work","agreement",90
"organisation","ACAS","2.01.002.00","mwk.challenging_work","agreement",77.99999999999999
"organisation","ACAS","2.01.003.00","mwk.personal_accomplishment","agreement",78.99999999999999
"organisation","ACAS","2.01.004.00","mwk.involved_decisions","agreement",46
"organisation","ACAS","2.01.005.00","mwk.choice_how","agreement",69
"organisation","ACAS","2.02.001.00","obj.understanding_objectives","agreement",88
"organisation","ACAS","2.02.002.00","obj.understanding_purpose","agreement",93
"organisation","ACAS","2.02.003.00","obj.contribute_toward_objectives","agreement",91
"organisation","ACAS","2.03.001.00","mgr.manager_motivates","agreement",65
"organisation","ACAS","2.03.004.00","mgr.manager_considerate","agreement",84.00000000000001
"organisation","ACAS","2.03.005.00","mgr.manager_open","agreement",77
"organisation","ACAS","2.03.006.00","mgr.understand_contribution","agreement",70
"organisation","ACAS","2.03.007.00","mgr.confidence_manger","agreement",71
"organisation","ACAS","2.03.008.00","mgr.manager_recognises","agreement",82
"organisation","ACAS","2.03.009.00","mgr.regular_feedback","agreement",71
"organisation","ACAS","2.03.010.00","mgr.feedback_helps","agreement",63
"organisation","ACAS","2.03.011.00","mgr.performance_fairly","agreement",68
"organisation","ACAS","2.03.013.00","mgr.poor_performance","agreement",35
"organisation","ACAS","2.04.001.00","twk.relied_upon","agreement",88
"organisation","ACAS","2.04.002.00","twk.improve_service","agreement",77.99999999999999
"organisation","ACAS","2.04.003.00","twk.team_encouraged","agreement",69
"organisation","ACAS","2.05.001.00","ldv.access_learning","agreement",64
"organisation","ACAS","2.05.002.00","ldv.improve_performance","agreement",60
"organisation","ACAS","2.05.003.00","ldv.opportunities_career","agreement",32
"organisation","ACAS","2.05.004.00","ldv.helping_career","agreement",45
"organisation","ACAS","2.06.001.00","ift.treated_fairly","agreement",78.99999999999999
"organisation","ACAS","2.06.002.00","ift.treated_respect","agreement",88
"organisation","ACAS","2.06.003.00","ift.work_valued","agreement",65
"organisation","ACAS","2.06.004.00","ift.respects_differences","agreement",77.99999999999999
"organisation","ACAS","2.07.001.00","rwk.information_needed","agreement",78.99999999999999
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",78.99999999999999
"organisation","ACAS","2.07.003.00","rwk.clear_expectations","agreement",89
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",93
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",82
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",60
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",71
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",38
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",39
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",37
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",48.00000000000001
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",40
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",45
"organisation","ACAS","2.09.004.00","lmc.organisation_managed_well","agreement",51
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",40
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",30
"organisation","ACAS","2.09.007.00","lmc.change_for_better","agreement",29.000000000000004
"organisation","ACAS","2.09.008.00","lmc.kept_informed","agreement",67
"organisation","ACAS","2.09.009.00","lmc.contribute_views","agreement",45
"organisation","ACAS","2.09.010.00","lmc.safe_to_challenge","agreement",52
"organisation","ACAS","2.10.001.00","eng.proud_to_tell","agreement",76
"organisation","ACAS","2.10.002.00","eng.recommend_organisation","agreement",57.99999999999999
"organisation","ACAS","2.10.003.00","eng.personal_attachment","agreement",60
"organisation","ACAS","2.10.004.00","eng.organisation_inspires","agreement",50
"organisation","ACAS","2.10.005.00","eng.organisation_motivates","agreement",46
"organisation","ACAS","2.11.001.00","act.senior_action","agreement",46
"organisation","ACAS","2.11.002.00","act.managers_action","agreement",56.00000000000001
"organisation","ACAS","2.11.003.00","act.been_taken","agreement",38
"organisation","ACAS","5.01.001.00","csc.aware_concern","yes",73
"organisation","ACAS","5.01.002.00","csc.aware_code","yes",49
"organisation","ACAS","5.01.003.00","csc.confident_code","yes",65.99999999999999
"organisation","ACAS","6.01.001.00","dhb.experienced_discrimination","yes",8
"organisation","ACAS","6.02.001.00","dhb.experienced_bullying","yes",8
"organisation","ACTIBK","1.01.001.00","000.engagement_index","index",60
"organisation","ACTIBK","1.02.001.00","000.my_work","theme",67
"organisation","ACTIBK","1.02.002.00","000.objectives_purpose","theme",86.00000000000001
"organisation","ACTIBK","1.02.003.00","000.my_manager","theme",65.99999999999999
"organisation","ACTIBK","1.02.004.00","000.my_team","theme",80
"organisation","ACTIBK","1.02.005.00","000.learning_development","theme",53
"organisation","ACTIBK","1.02.006.00","000.inclusion_treatment","theme",74
"organisation","ACTIBK","1.02.007.00","000.resources_workload","theme",78.99999999999999
"organisation","ACTIBK","1.02.008.00","000.pay_benefits","theme",28.000000000000004
"organisation","ACTIBK","1.02.009.00","000.leadership_change","theme",55.00000000000001
"organisation","ACTIBK","2.01.001.00","mwk.interested_work","agreement",88
"organisation","ACTIBK","2.01.002.00","mwk.challenging_work","agreement",65
"organisation","ACTIBK","2.01.003.00","mwk.personal_accomplishment","agreement",64
"organisation","ACTIBK","2.01.004.00","mwk.involved_decisions","agreement",46
"organisation","ACTIBK","2.01.005.00","mwk.choice_how","agreement",71
"organisation","ACTIBK","2.02.001.00","obj.understanding_objectives","agreement",85.00000000000001
"organisation","ACTIBK","2.02.002.00","obj.understanding_purpose","agreement",89
"organisation","ACTIBK","2.02.003.00","obj.contribute_toward_objectives","agreement",83
"organisation","ACTIBK","2.03.001.00","mgr.manager_motivates","agreement",65
"organisation","ACTIBK","2.03.004.00","mgr.manager_considerate","agreement",84.00000000000001
"organisation","ACTIBK","2.03.005.00","mgr.manager_open","agreement",77
"organisation","ACTIBK","2.03.006.00","mgr.understand_contribution","agreement",65
"organisation","ACTIBK","2.03.007.00","mgr.confidence_manger","agreement",73
"organisation","ACTIBK","2.03.008.00","mgr.manager_recognises","agreement",73
"organisation","ACTIBK","2.03.009.00","mgr.regular_feedback","agreement",54
"organisation","ACTIBK","2.03.010.00","mgr.feedback_helps","agreement",57.99999999999999
"organisation","ACTIBK","2.03.011.00","mgr.performance_fairly","agreement",71
"organisation","ACTIBK","2.03.013.00","mgr.poor_performance","agreement",38
"organisation","ACTIBK","2.04.001.00","twk.relied_upon","agreement",85.00000000000001
