"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","0.00.002.00","meta.response_rate","response_rate",65.517
"organisation","ACAS","1.01.001.00","000.engagement_index","index",62.037000000000006
"organisation","ACAS","1.02.001.00","000.my_work","theme",72.539
"organisation","ACAS","1.02.002.00","000.objectives_purpose","theme",79.334
"organisation","ACAS","1.02.003.00","000.my_manager","theme",76.44400000000002
"organisation","ACAS","1.02.004.00","000.my_team","theme",78.86999999999999
"organisation","ACAS","1.02.005.00","000.learning_development","theme",50.542
"organisation","ACAS","1.02.006.00","000.inclusion_treatment","theme",76.94800000000001
"organisation","ACAS","1.02.007.00","000.resources_workload","theme",71.734
"organisation","ACAS","1.02.008.00","000.pay_benefits","theme",24.355
"organisation","ACAS","1.02.009.00","000.leadership_change","theme",43.942
"organisation","ACAS","2.01.001.00","mwk.interested_work","agreement",87.307
"organisation","ACAS","2.01.002.00","mwk.challenging_work","agreement",80.495
"organisation","ACAS","2.01.003.00","mwk.personal_accomplishment","agreement",76.983
"organisation","ACAS","2.01.004.00","mwk.involved_decisions","agreement",44.650999999999996
"organisation","ACAS","2.01.005.00","mwk.choice_how","agreement",73.06500000000001
"organisation","ACAS","2.02.001.00","obj.understanding_objectives","agreement",76.589
"organisation","ACAS","2.02.003.00","obj.contribute_toward_objectives","agreement",82.198
"organisation","ACAS","2.03.001.00","mgr.manager_motivates","agreement",74.611
"organisation","ACAS","2.03.004.00","mgr.manager_considerate","agreement",89.13
"organisation","ACAS","2.03.005.00","mgr.manager_open","agreement",81.832
"organisation","ACAS","2.03.006.00","mgr.understand_contribution","agreement",72.91000000000001
"organisation","ACAS","2.03.007.00","mgr.confidence_manger","agreement",79.225
"organisation","ACAS","2.03.008.00","mgr.manager_recognises","agreement",81.269
"organisation","ACAS","2.03.009.00","mgr.regular_feedback","agreement",75.697
"organisation","ACAS","2.03.010.00","mgr.feedback_helps","agreement",66.46
"organisation","ACAS","2.03.011.00","mgr.performance_fairly","agreement",66.82199999999999
"organisation","ACAS","2.04.001.00","tem.relied_upon","agreement",88.08
"organisation","ACAS","2.04.002.00","tem.improve_service","agreement",80.93
"organisation","ACAS","2.04.003.00","mtm.team_encouraged","agreement",67.647
"organisation","ACAS","2.05.001.00","ldv.access_learning","agreement",63.72100000000001
"organisation","ACAS","2.05.002.00","ldv.improve_performance","agreement",50.619
"organisation","ACAS","2.05.003.00","ldv.opportunities_career","agreement",44.720000000000006
"organisation","ACAS","2.05.004.00","ldv.helping_career","agreement",43.034000000000006
"organisation","ACAS","2.06.001.00","ift.treated_fairly","agreement",79.969
"organisation","ACAS","2.06.002.00","ift.treated_respect","agreement",87.907
"organisation","ACAS","2.06.003.00","ift.work_valued","agreement",64.80599999999998
"organisation","ACAS","2.06.004.00","ift.respects_differences","agreement",75.387
"organisation","ACAS","2.07.001.00","rwk.information_needed","agreement",70.898
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",75
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",90.37299999999999
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",73.488
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",50.155
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",70.543
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",24.92299999999999
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",29.257
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",18.885
"organisation","ACAS","2.08.004.00","pay.aware_benefits","agreement",60.681000000000004
"organisation","ACAS","2.08.005.00","pay.money_worries","seldom_never",54.025000000000006
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",55.504000000000005
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",51.548
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",46.894000000000005
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",41.24
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",27.441999999999997
"organisation","ACAS","2.09.007.00","lmc.change_for_better","agreement",29.766999999999996
"organisation","ACAS","2.09.008.00","lmc.kept_informed","agreement",59.690000000000005
"organisation","ACAS","2.09.009.00","lmc.contribute_views","agreement",39.907000000000004
"organisation","ACAS","2.09.010.00","lmc.safe_to_challenge","agreement",43.410999999999994
"organisation","ACAS","2.10.001.00","eng.proud_to_tell","agreement",66.20200000000001
"organisation","ACAS","2.10.002.00","eng.recommend_organisation","agreement",53.09600000000001
"organisation","ACAS","2.10.003.00","eng.personal_attachment","agreement",53.023
"organisation","ACAS","2.10.004.00","eng.organisation_inspires","agreement",50.078
"organisation","ACAS","2.10.005.00","eng.organisation_motivates","agreement",46.903999999999996
