"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","0.00.002.00","meta.response_rate","response_rate",72.66499999999999
"organisation","ACAS","1.01.001.00","000.engagement_index","index",62.802
"organisation","ACAS","1.02.001.00","000.my_work","theme",72.423
"organisation","ACAS","1.02.002.00","000.objectives_purpose","theme",81.52599999999998
"organisation","ACAS","1.02.003.00","000.my_manager","theme",76.519
"organisation","ACAS","1.02.004.00","000.my_team","theme",78.001
"organisation","ACAS","1.02.005.00","000.learning_development","theme",51.339000000000006
"organisation","ACAS","1.02.006.00","000.inclusion_treatment","theme",77.086
"organisation","ACAS","1.02.007.00","000.resources_workload","theme",74.293
"organisation","ACAS","1.02.008.00","000.pay_benefits","theme",19.767999999999997
"organisation","ACAS","1.02.009.00","000.leadership_change","theme",46.393
"organisation","ACAS","2.01.001.00","mwk.interested_work","agreement",87.95200000000001
"organisation","ACAS","2.01.002.00","mwk.challenging_work","agreement",80.857
"organisation","ACAS","2.01.003.00","mwk.personal_accomplishment","agreement",76.37599999999999
"organisation","ACAS","2.01.004.00","mwk.involved_decisions","agreement",44.832
"organisation","ACAS","2.01.005.00","mwk.choice_how","agreement",72.021
"organisation","ACAS","2.02.001.00","obj.understanding_objectives","agreement",77.77799999999999
"organisation","ACAS","2.02.003.00","obj.contribute_toward_objectives","agreement",85.274
"organisation","ACAS","2.03.001.00","mgr.manager_motivates","agreement",74.96700000000001
"organisation","ACAS","2.03.004.00","mgr.manager_considerate","agreement",88.35299999999998
"organisation","ACAS","2.03.005.00","mgr.manager_open","agreement",80.88799999999999
"organisation","ACAS","2.03.006.00","mgr.understand_contribution","agreement",70.24100000000001
"organisation","ACAS","2.03.007.00","mgr.confidence_manger","agreement",79.65199999999999
"organisation","ACAS","2.03.008.00","mgr.manager_recognises","agreement",84.60499999999999
"organisation","ACAS","2.03.009.00","mgr.regular_feedback","agreement",75.16799999999999
"organisation","ACAS","2.03.010.00","mgr.feedback_helps","agreement",68.054
"organisation","ACAS","2.03.011.00","mgr.performance_fairly","agreement",66.756
"organisation","ACAS","2.04.001.00","twk.relied_upon","agreement",86.07799999999999
"organisation","ACAS","2.04.002.00","twk.improve_service","agreement",78.983
"organisation","ACAS","2.04.003.00","twk.team_encouraged","agreement",68.94200000000001
"organisation","ACAS","2.05.001.00","ldv.access_learning","agreement",63.137
"organisation","ACAS","2.05.002.00","ldv.improve_performance","agreement",52.145
"organisation","ACAS","2.05.003.00","ldv.opportunities_career","agreement",45.71
"organisation","ACAS","2.05.004.00","ldv.helping_career","agreement",44.23600000000001
"organisation","ACAS","2.06.001.00","ift.treated_fairly","agreement",80.857
"organisation","ACAS","2.06.002.00","ift.treated_respect","agreement",87.65099999999998
"organisation","ACAS","2.06.003.00","ift.work_valued","agreement",65.282
"organisation","ACAS","2.06.004.00","ift.respects_differences","agreement",74.56500000000001
"organisation","ACAS","2.07.001.00","rwk.information_needed","agreement",73.62799999999999
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",78.046
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",89.15699999999998
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",73.19
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",58.333000000000006
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",73.324
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",20.884
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",23.561
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",14.859000000000002
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",57.965
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",52.343
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",48.253
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",44.31099999999999
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",31.191
