"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","0.00.002.00","meta.response_rate","response_rate",66.82299999999998
"organisation","ACAS","1.01.001.00","000.engagement_index","index",63.17400000000001
"organisation","ACAS","1.02.001.00","000.my_work","theme",74.001
"organisation","ACAS","1.02.002.00","000.objectives_purpose","theme",84.951
"organisation","ACAS","1.02.003.00","000.my_manager","theme",78.04
"organisation","ACAS","1.02.004.00","000.my_team","theme",79.55899999999998
"organisation","ACAS","1.02.005.00","000.learning_development","theme",52.368
"organisation","ACAS","1.02.006.00","000.inclusion_treatment","theme",78.821
"organisation","ACAS","1.02.007.00","000.resources_workload","theme",73.793
"organisation","ACAS","1.02.008.00","000.pay_benefits","theme",21.917000000000005
"organisation","ACAS","1.02.009.00","000.leadership_change","theme",47.993
"organisation","ACAS","2.01.001.00","mwk.interested_work","agreement",88.73200000000001
"organisation","ACAS","2.01.002.00","mwk.challenging_work","agreement",82.13799999999999
"organisation","ACAS","2.01.003.00","mwk.personal_accomplishment","agreement",79.69
"organisation","ACAS","2.01.004.00","mwk.involved_decisions","agreement",46.328
"organisation","ACAS","2.01.005.00","mwk.choice_how","agreement",73.099
"organisation","ACAS","2.02.001.00","obj.understanding_objectives","agreement",83.07499999999999
"organisation","ACAS","2.02.003.00","obj.contribute_toward_objectives","agreement",86.761
"organisation","ACAS","2.03.001.00","mgr.manager_motivates","agreement",76.66199999999999
"organisation","ACAS","2.03.004.00","mgr.manager_considerate","agreement",89.422
"organisation","ACAS","2.03.005.00","mgr.manager_open","agreement",80.737
"organisation","ACAS","2.03.006.00","mgr.understand_contribution","agreement",74.33
"organisation","ACAS","2.03.007.00","mgr.confidence_manger","agreement",79.18399999999998
"organisation","ACAS","2.03.008.00","mgr.manager_recognises","agreement",84.366
"organisation","ACAS","2.03.009.00","mgr.regular_feedback","agreement",78.05899999999998
"organisation","ACAS","2.03.010.00","mgr.feedback_helps","agreement",70.52199999999999
"organisation","ACAS","2.03.011.00","mgr.performance_fairly","agreement",68.73200000000001
"organisation","ACAS","2.03.012.00","mgr.management_standards","yes",37.80000000000001
"organisation","ACAS","2.04.001.00","tem.relied_upon","agreement",88.434
"organisation","ACAS","2.04.002.00","tem.improve_service","agreement",79.74700000000001
"organisation","ACAS","2.04.003.00","mtm.team_encouraged","agreement",70.60499999999999
"organisation","ACAS","2.05.001.00","ldv.access_learning","agreement",64.557
"organisation","ACAS","2.05.002.00","ldv.improve_performance","agreement",53.943999999999996
"organisation","ACAS","2.05.003.00","ldv.opportunities_career","agreement",46.685
"organisation","ACAS","2.05.004.00","ldv.helping_career","agreement",44.16300000000001
"organisation","ACAS","2.06.001.00","ift.treated_fairly","agreement",81.435
"organisation","ACAS","2.06.002.00","ift.treated_respect","agreement",89.422
"organisation","ACAS","2.06.003.00","ift.work_valued","agreement",69.296
"organisation","ACAS","2.06.004.00","ift.respects_differences","agreement",75.07
"organisation","ACAS","2.07.001.00","rwk.information_needed","agreement",74.68399999999998
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",77.496
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",90
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",77.086
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",49.508
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",73.98
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",21.58
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",26.515999999999995
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",17.630000000000003
"organisation","ACAS","2.08.004.00","pay.aware_benefits","agreement",65.726
"organisation","ACAS","2.08.005.00","pay.money_worries","seldom_never",53.73800000000001
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",63.23900000000001
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",54.72500000000001
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",49.080999999999996
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",47.525000000000006
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",32.299000000000014
"organisation","ACAS","2.09.007.00","lmc.change_for_better","agreement",31.548999999999996
"organisation","ACAS","2.09.008.00","lmc.kept_informed","agreement",63.521
"organisation","ACAS","2.09.009.00","lmc.contribute_views","agreement",41.830999999999996
"organisation","ACAS","2.09.010.00","lmc.safe_to_challenge","agreement",48.16900000000001
"organisation","ACAS","2.10.001.00","eng.proud_to_tell","agreement",67.37299999999999
"organisation","ACAS","2.10.002.00","eng.recommend_organisation","agreement",55.994
"organisation","ACAS","2.10.003.00","eng.personal_attachment","agreement",55.446000000000005
"organisation","ACAS","2.10.004.00","eng.organisation_inspires","agreement",52.327000000000005
"organisation","ACAS","2.10.005.00","eng.organisation_motivates","agreement",50.282000000000004
"organisation","ACAS","2.11.001.00","act.senior_action","agreement",42.676
"organisation","ACAS","2.11.003.00","act.been_taken","agreement",29.859000000000005
"organisation","ACAS","3.01.001.00","tpl.trusted_job","agreement",90.12699999999998
"organisation","ACAS","3.01.002.00","tpl.try_new_ideas","agreement",66.384
"organisation","ACAS","3.01.006.00","tpl.speak_up_risk","agreement",66.996
"organisation","ACAS","3.01.007.00","tpl.challenge_inappropriate","agreement",69.761
"organisation","ACAS","3.01.008.00","tpl.organisation_inclusive","agreement",74.93
"organisation","ACAS","3.03.001.00","tpl.aware_vision","agreement",51.061
"organisation","ACAS","3.03.002.00","tpl.achieve_vision","agreement",35.634
