"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACAS","0.00.002.00","meta.response_rate","response_rate",78.31
"organisation","ACAS","1.01.001.00","000.engagement_index","index",67.064
"organisation","ACAS","1.02.001.00","000.my_work","theme",73.74700000000001
"organisation","ACAS","1.02.002.00","000.objectives_purpose","theme",86.511
"organisation","ACAS","1.02.003.00","000.my_manager","theme",74.821
"organisation","ACAS","1.02.004.00","000.my_team","theme",78.577
"organisation","ACAS","1.02.005.00","000.learning_development","theme",53.477000000000004
"organisation","ACAS","1.02.006.00","000.inclusion_treatment","theme",80.216
"organisation","ACAS","1.02.007.00","000.resources_workload","theme",78.94300000000001
"organisation","ACAS","1.02.008.00","000.pay_benefits","theme",27.418
"organisation","ACAS","1.02.009.00","000.leadership_change","theme",51.29100000000001
"organisation","ACAS","2.01.001.00","mwk.interested_work","agreement",90.048
"organisation","ACAS","2.01.002.00","mwk.challenging_work","agreement",79.736
"organisation","ACAS","2.01.003.00","mwk.personal_accomplishment","agreement",78.365
"organisation","ACAS","2.01.004.00","mwk.involved_decisions","agreement",49.097
"organisation","ACAS","2.01.005.00","mwk.choice_how","agreement",71.463
"organisation","ACAS","2.02.001.00","obj.understanding_objectives","agreement",83.813
"organisation","ACAS","2.02.003.00","obj.contribute_toward_objectives","agreement",89.209
"organisation","ACAS","2.03.001.00","mgr.manager_motivates","agreement",76.85899999999998
"organisation","ACAS","2.03.004.00","mgr.manager_considerate","agreement",88.489
"organisation","ACAS","2.03.005.00","mgr.manager_open","agreement",83.13299999999998
"organisation","ACAS","2.03.006.00","mgr.understand_contribution","agreement",73.767
"organisation","ACAS","2.03.007.00","mgr.confidence_manger","agreement",80.07199999999999
"organisation","ACAS","2.03.008.00","mgr.manager_recognises","agreement",84.293
"organisation","ACAS","2.03.009.00","mgr.regular_feedback","agreement",78.537
"organisation","ACAS","2.03.010.00","mgr.feedback_helps","agreement",71.274
"organisation","ACAS","2.03.011.00","mgr.performance_fairly","agreement",71.82299999999998
"organisation","ACAS","2.03.013.00","mgr.poor_performance","agreement",39.903999999999996
"organisation","ACAS","2.04.001.00","tem.relied_upon","agreement",87.16999999999999
"organisation","ACAS","2.04.002.00","tem.improve_service","agreement",78.297
"organisation","ACAS","2.04.003.00","mtm.team_encouraged","agreement",70.264
"organisation","ACAS","2.05.001.00","ldv.access_learning","agreement",64.988
"organisation","ACAS","2.05.002.00","ldv.improve_performance","agreement",55.635000000000005
"organisation","ACAS","2.05.003.00","ldv.opportunities_career","agreement",46.394000000000005
"organisation","ACAS","2.05.004.00","ldv.helping_career","agreement",46.939
"organisation","ACAS","2.06.001.00","ift.treated_fairly","agreement",83.094
"organisation","ACAS","2.06.002.00","ift.treated_respect","agreement",88.60899999999998
"organisation","ACAS","2.06.003.00","ift.work_valued","agreement",70.07199999999999
"organisation","ACAS","2.06.004.00","ift.respects_differences","agreement",79.017
"organisation","ACAS","2.07.001.00","rwk.information_needed","agreement",76.499
"organisation","ACAS","2.07.002.00","rwk.work_objectives","agreement",81.993
"organisation","ACAS","2.07.004.00","rwk.skills_needed","agreement",90.38499999999999
"organisation","ACAS","2.07.005.00","rwk.tools_needed","agreement",77.67099999999999
"organisation","ACAS","2.07.006.00","rwk.acceptable_workload","agreement",67.995
"organisation","ACAS","2.07.007.00","rwk.work_life_balance","agreement",78.992
"organisation","ACAS","2.08.001.00","pay.reflects_performance","agreement",27.131000000000004
"organisation","ACAS","2.08.002.00","pay.satisfied_benefits","agreement",31.655
"organisation","ACAS","2.08.003.00","pay.pay_reasonable","agreement",23.501
"organisation","ACAS","2.09.001.00","lmc.seniors_visible","agreement",62.065000000000005
"organisation","ACAS","2.09.002.00","lmc.seniors_consistent_values","agreement",59.184000000000005
"organisation","ACAS","2.09.003.00","lmc.clear_vision","agreement",53.438
"organisation","ACAS","2.09.005.00","lmc.confidence_seniors","agreement",50.660000000000004
"organisation","ACAS","2.09.006.00","lmc.change_managed_well","agreement",37.455
"organisation","ACAS","2.09.007.00","lmc.change_for_better","agreement",34.81399999999999
"organisation","ACAS","2.09.008.00","lmc.kept_informed","agreement",67.347
"organisation","ACAS","2.09.009.00","lmc.contribute_views","agreement",44.832
"organisation","ACAS","2.09.010.00","lmc.safe_to_challenge","agreement",51.261
"organisation","ACAS","2.10.001.00","eng.proud_to_tell","agreement",73.74100000000001
"organisation","ACAS","2.10.002.00","eng.recommend_organisation","agreement",64.508
"organisation","ACAS","2.10.003.00","eng.personal_attachment","agreement",58.675000000000004
"organisation","ACAS","2.10.004.00","eng.organisation_inspires","agreement",59.206
"organisation","ACAS","2.10.005.00","eng.organisation_motivates","agreement",55.409000000000006
"organisation","ACAS","2.11.001.00","act.senior_action","agreement",51.799000000000014
"organisation","ACAS","2.11.003.00","act.been_taken","agreement",40.505
"organisation","ACAS","3.01.001.00","tpl.trusted_job","agreement",91.357
"organisation","ACAS","3.01.002.00","tpl.try_new_ideas","agreement",68.38899999999998
"organisation","ACAS","3.01.006.00","tpl.speak_up_risk","agreement",68.187
"organisation","ACAS","3.01.007.00","tpl.challenge_inappropriate","agreement",67.746
"organisation","ACAS","3.01.008.00","tpl.organisation_inclusive","agreement",77.218
"organisation","ACAS","3.02.009.00","tpl.managers_role_model","always_most",71.463
"organisation","ACAS","3.03.001.00","tpl.aware_vision","agreement",51.079
"organisation","ACAS","4.01.001.01","int.leave_asap","int_leave_asap",6.023999999999999
"organisation","ACAS","4.01.001.02","int.leave_next_12m","int_leave_12m",14.699
"organisation","ACAS","4.01.001.03","int.stay_next_year","int_stay_1yr",30.241
"organisation","ACAS","4.01.001.04","int.stay_three_years","int_stay_3yr",49.036
"organisation","ACAS","5.01.002.00","csc.aware_code","yes",55.76900000000001
"organisation","ACAS","5.01.003.00","csc.confident_code","yes",73.85
"organisation","ACAS","5.01.004.00","csc.understand_conduct","agreement",79.616
"organisation","ACAS","6.01.001.00","dhb.experienced_discrimination","no",83.894
"organisation","ACAS","6.01.001.00","dhb.experienced_discrimination","ptns",9.255
"organisation","ACAS","6.01.001.00","dhb.experienced_discrimination","yes",6.851
"organisation","ACAS","6.02.001.00","dhb.experienced_bullying","no",87.13899999999998
"organisation","ACAS","6.02.001.00","dhb.experienced_bullying","ptns",6.851
"organisation","ACAS","6.02.001.00","dhb.experienced_bullying","yes",6.01
"organisation","ACAS","6.02.002.01","dhb.bullying_nature_appearance","multi_choice",6
"organisation","ACAS","6.02.002.02","dhb.bullying_nature_sexual_harassment","multi_choice",6
"organisation","ACAS","6.02.002.03","dhb.bullying_nature_gossip","multi_choice",16
"organisation","ACAS","6.02.002.04","dhb.bullying_nature_aggression","multi_choice",38
"organisation","ACAS","6.02.002.05","dhb.bullying_nature_assault","multi_choice",4
"organisation","ACAS","6.02.002.06","dhb.bullying_nature_humiliated","multi_choice",34
"organisation","ACAS","6.02.002.07","dhb.bullying_nature_micromanagement","multi_choice",52
"organisation","ACAS","6.02.002.08","dhb.bullying_nature_job_criticism","multi_choice",22
"organisation","ACAS","6.02.002.09","dhb.bullying_nature_unfavourable","multi_choice",38
"organisation","ACAS","6.02.002.10","dhb.bullying_nature_ignored","multi_choice",32
"organisation","ACAS","6.02.002.11","dhb.bullying_nature_undermining","multi_choice",32
"organisation","ACAS","6.02.002.12","dhb.bullying_nature_denied_illness","multi_choice",4
"organisation","ACAS","6.02.002.13","dhb.bullying_nature_denied_caring","multi_choice",6
"organisation","ACAS","6.02.002.14","dhb.bullying_nature_personal_details","multi_choice",12
"organisation","ACAS","6.02.002.15","dhb.bullying_nature_health_comments","multi_choice",14
"organisation","ACAS","6.02.002.98","dhb.bullying_nature_something_else","multi_choice",6
"organisation","ACAS","6.02.002.99","dhb.bullying_nature_pnts","multi_choice",6
"organisation","ACAS","6.02.004.00","dhb.reported_bullying","no",48.98
"organisation","ACAS","6.02.004.00","dhb.reported_bullying","ptns",22.449
"organisation","ACAS","6.02.004.00","dhb.reported_bullying","yes",28.571000000000005
"organisation","ACAS","6.04.002.00","dhb.appropriate_action","no",57.143
"organisation","ACAS","6.04.002.00","dhb.appropriate_action","ptns",21.42899999999999
"organisation","ACAS","6.04.002.00","dhb.appropriate_action","yes",21.42899999999999
"organisation","ACAS","6.04.003.00","dhb.bullying_has_stopped","no",34
"organisation","ACAS","6.04.003.00","dhb.bullying_has_stopped","ptns",46
"organisation","ACAS","6.04.003.00","dhb.bullying_has_stopped","yes",20
"organisation","ACAS","6.04.004.00","dhb.culture_continue","no",18
"organisation","ACAS","6.04.004.00","dhb.culture_continue","ptns",22
"organisation","ACAS","6.04.004.00","dhb.culture_continue","yes",60
"organisation","ACAS","6.04.005.00","dhb.punished_reporting","no",64.286
"organisation","ACAS","6.04.005.00","dhb.punished_reporting","ptns",7.142999999999999
"organisation","ACAS","6.04.005.00","dhb.punished_reporting","yes",28.571000000000005
"organisation","ACAS","7.01.001.00","wlb.perma_index","index",73.995
"organisation","ACAS","7.01.002.00","wlb.stress_index","index",25.587
"organisation","ACAS","7.02.001.00","wlb.satisfied_life","num_07_10",63.248000000000005
"organisation","ACAS","7.02.002.00","wlb.life_worthwhile","num_07_10",70.416
"organisation","ACAS","7.02.003.00","wlb.happy_yesterday","num_07_10",61.642
"organisation","ACAS","7.02.004.00","wlb.anxious_yesterday","num_06_10",37.332
"organisation","ACAS","7.03.001.00","wlb.mental_health","excellent_good",67.195
"organisation","ACAS","7.03.002.00","wlb.physical_health","excellent_good",68.093
"organisation","ACAS","7.03.003.00","wlb.feel_lonely","always_often",5.146999999999999
"organisation","ACAS","7.03.004.00","wlb.team_care","agreement",72.927
"organisation","ACTIBK","0.00.002.00","meta.response_rate","response_rate",75.862
"organisation","ACTIBK","1.01.001.00","000.engagement_index","index",63.12500000000001
"organisation","ACTIBK","1.02.001.00","000.my_work","theme",72.27299999999998
"organisation","ACTIBK","1.02.002.00","000.objectives_purpose","theme",86.932
"organisation","ACTIBK","1.02.003.00","000.my_manager","theme",72.727
"organisation","ACTIBK","1.02.004.00","000.my_team","theme",78.03
"organisation","ACTIBK","1.02.005.00","000.learning_development","theme",57.67
"organisation","ACTIBK","1.02.006.00","000.inclusion_treatment","theme",79.261
"organisation","ACTIBK","1.02.007.00","000.resources_workload","theme",80.019
"organisation","ACTIBK","1.02.008.00","000.pay_benefits","theme",46.591
"organisation","ACTIBK","1.02.009.00","000.leadership_change","theme",59.217000000000006
"organisation","ACTIBK","2.01.001.00","mwk.interested_work","agreement",78.409
"organisation","ACTIBK","2.01.002.00","mwk.challenging_work","agreement",71.591
"organisation","ACTIBK","2.01.003.00","mwk.personal_accomplishment","agreement",67.045
"organisation","ACTIBK","2.01.004.00","mwk.involved_decisions","agreement",61.364000000000004
"organisation","ACTIBK","2.01.005.00","mwk.choice_how","agreement",82.95500000000001
"organisation","ACTIBK","2.02.001.00","obj.understanding_objectives","agreement",86.364
"organisation","ACTIBK","2.02.003.00","obj.contribute_toward_objectives","agreement",87.5
"organisation","ACTIBK","2.03.001.00","mgr.manager_motivates","agreement",76.13599999999998
"organisation","ACTIBK","2.03.004.00","mgr.manager_considerate","agreement",93.18199999999999
"organisation","ACTIBK","2.03.005.00","mgr.manager_open","agreement",87.5
"organisation","ACTIBK","2.03.006.00","mgr.understand_contribution","agreement",70.45500000000001
"organisation","ACTIBK","2.03.007.00","mgr.confidence_manger","agreement",78.409
"organisation","ACTIBK","2.03.008.00","mgr.manager_recognises","agreement",78.409
"organisation","ACTIBK","2.03.009.00","mgr.regular_feedback","agreement",70.45500000000001
"organisation","ACTIBK","2.03.010.00","mgr.feedback_helps","agreement",62.5
"organisation","ACTIBK","2.03.011.00","mgr.performance_fairly","agreement",73.864
"organisation","ACTIBK","2.03.013.00","mgr.poor_performance","agreement",36.364000000000004
"organisation","ACTIBK","2.04.001.00","tem.relied_upon","agreement",81.81800000000001
"organisation","ACTIBK","2.04.002.00","tem.improve_service","agreement",78.409
"organisation","ACTIBK","2.04.003.00","mtm.team_encouraged","agreement",73.864
"organisation","ACTIBK","2.05.001.00","ldv.access_learning","agreement",78.409
"organisation","ACTIBK","2.05.002.00","ldv.improve_performance","agreement",47.72700000000001
"organisation","ACTIBK","2.05.003.00","ldv.opportunities_career","agreement",55.682
"organisation","ACTIBK","2.05.004.00","ldv.helping_career","agreement",48.864000000000004
"organisation","ACTIBK","2.06.001.00","ift.treated_fairly","agreement",85.227
"organisation","ACTIBK","2.06.002.00","ift.treated_respect","agreement",86.364
"organisation","ACTIBK","2.06.003.00","ift.work_valued","agreement",63.636
"organisation","ACTIBK","2.06.004.00","ift.respects_differences","agreement",81.81800000000001
"organisation","ACTIBK","2.07.001.00","rwk.information_needed","agreement",73.864
"organisation","ACTIBK","2.07.002.00","rwk.work_objectives","agreement",80.68199999999999
"organisation","ACTIBK","2.07.004.00","rwk.skills_needed","agreement",91.954
"organisation","ACTIBK","2.07.005.00","rwk.tools_needed","agreement",81.60899999999998
"organisation","ACTIBK","2.07.006.00","rwk.acceptable_workload","agreement",64.77299999999998
"organisation","ACTIBK","2.07.007.00","rwk.work_life_balance","agreement",87.5
"organisation","ACTIBK","2.08.001.00","pay.reflects_performance","agreement",40.909000000000006
"organisation","ACTIBK","2.08.002.00","pay.satisfied_benefits","agreement",62.5
"organisation","ACTIBK","2.08.003.00","pay.pay_reasonable","agreement",36.364000000000004
"organisation","ACTIBK","2.09.001.00","lmc.seniors_visible","agreement",81.81800000000001
"organisation","ACTIBK","2.09.002.00","lmc.seniors_consistent_values","agreement",65.909
"organisation","ACTIBK","2.09.003.00","lmc.clear_vision","agreement",59.091
"organisation","ACTIBK","2.09.005.00","lmc.confidence_seniors","agreement",59.091
"organisation","ACTIBK","2.09.006.00","lmc.change_managed_well","agreement",50
"organisation","ACTIBK","2.09.007.00","lmc.change_for_better","agreement",45.455
"organisation","ACTIBK","2.09.008.00","lmc.kept_informed","agreement",68.18199999999999
"organisation","ACTIBK","2.09.009.00","lmc.contribute_views","agreement",47.72700000000001
"organisation","ACTIBK","2.09.010.00","lmc.safe_to_challenge","agreement",55.682
"organisation","ACTIBK","2.10.001.00","eng.proud_to_tell","agreement",55.682
"organisation","ACTIBK","2.10.002.00","eng.recommend_organisation","agreement",63.636
"organisation","ACTIBK","2.10.003.00","eng.personal_attachment","agreement",45.455
"organisation","ACTIBK","2.10.004.00","eng.organisation_inspires","agreement",55.682
"organisation","ACTIBK","2.10.005.00","eng.organisation_motivates","agreement",48.864000000000004
"organisation","ACTIBK","2.11.001.00","act.senior_action","agreement",64.77299999999998
