"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ACTIBK","1.02.007.00","000.resources_workload","theme",76
"organisation","ACTIBK","1.02.008.00","000.pay_benefits","theme",35
"organisation","ACTIBK","1.02.009.00","000.leadership_change","theme",47
"organisation","ACTIBK","2.01.001.00","mwk.interested_work","agreement",83
"organisation","ACTIBK","2.01.002.00","mwk.challenging_work","agreement",67
"organisation","ACTIBK","2.01.003.00","mwk.personal_accomplishment","agreement",63
"organisation","ACTIBK","2.01.004.00","mwk.involved_decisions","agreement",53
"organisation","ACTIBK","2.01.005.00","mwk.choice_how","agreement",69
"organisation","ACTIBK","2.02.001.00","obj.understanding_objectives","agreement",84
"organisation","ACTIBK","2.02.003.00","obj.contribute_toward_objectives","agreement",82
"organisation","ACTIBK","2.03.001.00","mgr.manager_motivates","agreement",66
"organisation","ACTIBK","2.03.004.00","mgr.manager_considerate","agreement",87
"organisation","ACTIBK","2.03.005.00","mgr.manager_open","agreement",74
"organisation","ACTIBK","2.03.006.00","mgr.understand_contribution","agreement",61
"organisation","ACTIBK","2.03.007.00","mgr.confidence_manger","agreement",66
"organisation","ACTIBK","2.03.008.00","mgr.manager_recognises","agreement",75
"organisation","ACTIBK","2.03.009.00","mgr.regular_feedback","agreement",71
"organisation","ACTIBK","2.03.010.00","mgr.feedback_helps","agreement",56
"organisation","ACTIBK","2.03.011.00","mgr.performance_fairly","agreement",66
"organisation","ACTIBK","2.03.013.00","mgr.poor_performance","agreement",32
"organisation","ACTIBK","2.04.001.00","tem.relied_upon","agreement",77
"organisation","ACTIBK","2.04.002.00","tem.improve_service","agreement",70
"organisation","ACTIBK","2.04.003.00","mtm.team_encouraged","agreement",69
"organisation","ACTIBK","2.05.001.00","ldv.access_learning","agreement",73
"organisation","ACTIBK","2.05.002.00","ldv.improve_performance","agreement",55
"organisation","ACTIBK","2.05.003.00","ldv.opportunities_career","agreement",43
"organisation","ACTIBK","2.05.004.00","ldv.helping_career","agreement",48
"organisation","ACTIBK","2.06.001.00","ift.treated_fairly","agreement",81
"organisation","ACTIBK","2.06.002.00","ift.treated_respect","agreement",79
"organisation","ACTIBK","2.06.003.00","ift.work_valued","agreement",58
"organisation","ACTIBK","2.06.004.00","ift.respects_differences","agreement",79
"organisation","ACTIBK","2.07.001.00","rwk.information_needed","agreement",65
"organisation","ACTIBK","2.07.002.00","rwk.work_objectives","agreement",69
"organisation","ACTIBK","2.07.004.00","rwk.skills_needed","agreement",91
"organisation","ACTIBK","2.07.005.00","rwk.tools_needed","agreement",78
"organisation","ACTIBK","2.07.006.00","rwk.acceptable_workload","agreement",70
"organisation","ACTIBK","2.07.007.00","rwk.work_life_balance","agreement",84
"organisation","ACTIBK","2.08.001.00","pay.reflects_performance","agreement",36
"organisation","ACTIBK","2.08.002.00","pay.satisfied_benefits","agreement",36
"organisation","ACTIBK","2.08.003.00","pay.pay_reasonable","agreement",33
"organisation","ACTIBK","2.09.001.00","lmc.seniors_visible","agreement",72
"organisation","ACTIBK","2.09.002.00","lmc.seniors_consistent_values","agreement",54
"organisation","ACTIBK","2.09.003.00","lmc.clear_vision","agreement",39
"organisation","ACTIBK","2.09.005.00","lmc.confidence_seniors","agreement",47
"organisation","ACTIBK","2.09.006.00","lmc.change_managed_well","agreement",36
"organisation","ACTIBK","2.09.007.00","lmc.change_for_better","agreement",35
"organisation","ACTIBK","2.09.008.00","lmc.kept_informed","agreement",52
"organisation","ACTIBK","2.09.009.00","lmc.contribute_views","agreement",40
"organisation","ACTIBK","2.09.010.00","lmc.safe_to_challenge","agreement",49
"organisation","ACTIBK","2.10.001.00","eng.proud_to_tell","agreement",43
"organisation","ACTIBK","2.10.002.00","eng.recommend_organisation","agreement",52
"organisation","ACTIBK","2.10.003.00","eng.personal_attachment","agreement",34
"organisation","ACTIBK","2.10.004.00","eng.organisation_inspires","agreement",36
"organisation","ACTIBK","2.10.005.00","eng.organisation_motivates","agreement",35
"organisation","ACTIBK","2.11.001.00","act.senior_action","agreement",53
"organisation","ACTIBK","2.11.003.00","act.been_taken","agreement",43
"organisation","ACTIBK","3.01.001.00","tpl.trusted_job","agreement",86
"organisation","ACTIBK","3.01.002.00","tpl.try_new_ideas","agreement",65
"organisation","ACTIBK","3.01.006.00","tpl.speak_up_risk","agreement",68
"organisation","ACTIBK","3.01.007.00","tpl.challenge_inappropriate","agreement",59
"organisation","ACTIBK","3.01.008.00","tpl.organisation_inclusive","agreement",77
"organisation","ACTIBK","3.02.007.00","tpl.seniors_role_model","agreement",40
"organisation","ACTIBK","3.02.008.00","tpl.supervisor_role_model","agreement",59
"organisation","ACTIBK","3.03.001.00","tpl.aware_vision","agreement",38
"organisation","ACTIBK","3.03.002.00","tpl.achieve_vision","agreement",31
"organisation","ACTIBK","5.01.001.00","csc.aware_concern","yes",99
"organisation","ACTIBK","5.01.002.00","csc.aware_code","yes",90
"organisation","ACTIBK","5.01.003.00","csc.confident_code","yes",73
"organisation","ACTIBK","6.01.001.00","dhb.experienced_discrimination","yes",14
"organisation","ACTIBK","6.02.001.00","dhb.experienced_bullying","yes",4
"organisation","ACTIBK","7.02.001.00","wlb.satisfied_life","num_07_10",67
"organisation","ACTIBK","7.02.002.00","wlb.life_worthwhile","num_07_10",65
"organisation","ACTIBK","7.02.003.00","wlb.happy_yesterday","num_07_10",64
"organisation","ACTIBK","7.02.004.00","wlb.anxious_yesterday","num_06_10",50
"organisation","ANPHEL","0.00.002.00","meta.response_rate","response_rate",65
"organisation","ANPHEL","1.01.001.00","000.engagement_index","index",51
"organisation","ANPHEL","1.02.001.00","000.my_work","theme",70
"organisation","ANPHEL","1.02.002.00","000.objectives_purpose","theme",73
"organisation","ANPHEL","1.02.003.00","000.my_manager","theme",64
"organisation","ANPHEL","1.02.004.00","000.my_team","theme",75
"organisation","ANPHEL","1.02.005.00","000.learning_development","theme",45
"organisation","ANPHEL","1.02.006.00","000.inclusion_treatment","theme",71
"organisation","ANPHEL","1.02.007.00","000.resources_workload","theme",64
"organisation","ANPHEL","1.02.008.00","000.pay_benefits","theme",24
"organisation","ANPHEL","1.02.009.00","000.leadership_change","theme",31
"organisation","ANPHEL","2.01.001.00","mwk.interested_work","agreement",88
"organisation","ANPHEL","2.01.002.00","mwk.challenging_work","agreement",77
"organisation","ANPHEL","2.01.003.00","mwk.personal_accomplishment","agreement",69
"organisation","ANPHEL","2.01.004.00","mwk.involved_decisions","agreement",48
"organisation","ANPHEL","2.01.005.00","mwk.choice_how","agreement",66
"organisation","ANPHEL","2.02.001.00","obj.understanding_objectives","agreement",71
"organisation","ANPHEL","2.02.003.00","obj.contribute_toward_objectives","agreement",76
"organisation","ANPHEL","2.03.001.00","mgr.manager_motivates","agreement",63
"organisation","ANPHEL","2.03.004.00","mgr.manager_considerate","agreement",80
"organisation","ANPHEL","2.03.005.00","mgr.manager_open","agreement",78
"organisation","ANPHEL","2.03.006.00","mgr.understand_contribution","agreement",60
"organisation","ANPHEL","2.03.007.00","mgr.confidence_manger","agreement",66
"organisation","ANPHEL","2.03.008.00","mgr.manager_recognises","agreement",76
"organisation","ANPHEL","2.03.009.00","mgr.regular_feedback","agreement",66
"organisation","ANPHEL","2.03.010.00","mgr.feedback_helps","agreement",56
"organisation","ANPHEL","2.03.011.00","mgr.performance_fairly","agreement",59
"organisation","ANPHEL","2.03.013.00","mgr.poor_performance","agreement",36
"organisation","ANPHEL","2.04.001.00","tem.relied_upon","agreement",80
"organisation","ANPHEL","2.04.002.00","tem.improve_service","agreement",77
"organisation","ANPHEL","2.04.003.00","mtm.team_encouraged","agreement",68
"organisation","ANPHEL","2.05.001.00","ldv.access_learning","agreement",60
"organisation","ANPHEL","2.05.002.00","ldv.improve_performance","agreement",45
"organisation","ANPHEL","2.05.003.00","ldv.opportunities_career","agreement",38
"organisation","ANPHEL","2.05.004.00","ldv.helping_career","agreement",36
"organisation","ANPHEL","2.06.001.00","ift.treated_fairly","agreement",74
"organisation","ANPHEL","2.06.002.00","ift.treated_respect","agreement",81
"organisation","ANPHEL","2.06.003.00","ift.work_valued","agreement",58
"organisation","ANPHEL","2.06.004.00","ift.respects_differences","agreement",69
"organisation","ANPHEL","2.07.001.00","rwk.information_needed","agreement",59
"organisation","ANPHEL","2.07.002.00","rwk.work_objectives","agreement",69
"organisation","ANPHEL","2.07.004.00","rwk.skills_needed","agreement",86
"organisation","ANPHEL","2.07.005.00","rwk.tools_needed","agreement",65
"organisation","ANPHEL","2.07.006.00","rwk.acceptable_workload","agreement",48
"organisation","ANPHEL","2.07.007.00","rwk.work_life_balance","agreement",60
"organisation","ANPHEL","2.08.001.00","pay.reflects_performance","agreement",21
"organisation","ANPHEL","2.08.002.00","pay.satisfied_benefits","agreement",30
"organisation","ANPHEL","2.08.003.00","pay.pay_reasonable","agreement",22
"organisation","ANPHEL","2.09.001.00","lmc.seniors_visible","agreement",41
"organisation","ANPHEL","2.09.002.00","lmc.seniors_consistent_values","agreement",41
"organisation","ANPHEL","2.09.003.00","lmc.clear_vision","agreement",29
"organisation","ANPHEL","2.09.005.00","lmc.confidence_seniors","agreement",31
"organisation","ANPHEL","2.09.006.00","lmc.change_managed_well","agreement",20
"organisation","ANPHEL","2.09.007.00","lmc.change_for_better","agreement",17
"organisation","ANPHEL","2.09.008.00","lmc.kept_informed","agreement",41
"organisation","ANPHEL","2.09.009.00","lmc.contribute_views","agreement",25
"organisation","ANPHEL","2.09.010.00","lmc.safe_to_challenge","agreement",33
"organisation","ANPHEL","2.10.001.00","eng.proud_to_tell","agreement",43
"organisation","ANPHEL","2.10.002.00","eng.recommend_organisation","agreement",33
"organisation","ANPHEL","2.10.003.00","eng.personal_attachment","agreement",40
"organisation","ANPHEL","2.10.004.00","eng.organisation_inspires","agreement",32
"organisation","ANPHEL","2.10.005.00","eng.organisation_motivates","agreement",30
"organisation","ANPHEL","2.11.001.00","act.senior_action","agreement",30
"organisation","ANPHEL","2.11.003.00","act.been_taken","agreement",22
"organisation","ANPHEL","3.01.001.00","tpl.trusted_job","agreement",87
"organisation","ANPHEL","3.01.002.00","tpl.try_new_ideas","agreement",63
"organisation","ANPHEL","3.01.006.00","tpl.speak_up_risk","agreement",62
"organisation","ANPHEL","3.01.007.00","tpl.challenge_inappropriate","agreement",58
"organisation","ANPHEL","3.01.008.00","tpl.organisation_inclusive","agreement",67
"organisation","ANPHEL","3.02.007.00","tpl.seniors_role_model","agreement",34
"organisation","ANPHEL","3.02.008.00","tpl.supervisor_role_model","agreement",59
"organisation","ANPHEL","3.03.001.00","tpl.aware_vision","agreement",47
"organisation","ANPHEL","3.03.002.00","tpl.achieve_vision","agreement",32
"organisation","ANPHEL","5.01.001.00","csc.aware_concern","yes",95
"organisation","ANPHEL","5.01.002.00","csc.aware_code","yes",72
