uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
wrkplc_hyb,1.05.02.002,primary,Hybrid,Hybrid (mixed workplace/home/other),Working pattern (location): Hybrid (mixed workplace/home/other)
wrkplc_mob,1.05.02.003,primary,Mobile,Mobile (no fixed workplace),Working pattern (location): Mobile (no fixed workplace)
wrkplc_hom,1.05.02.004,primary,Homeworker,Homeworker,Working pattern (location): Homeworker
emplst_prm,1.06.00.001,primary,Permanent,Permanent contract,Employment status: Permanent contract
emplst_fix,1.06.00.002,primary,Fixed-term,Fixed-term contract,Employment status: Fixed-term contract
emplst_ocs,1.06.00.003,primary,Loan within the Civil Service,On loan from another Civil Service organisation,Employment status: On loan from another Civil Service organisation
emplst_tmp,1.06.00.004,primary,Temporary/agency,Temporary or agency worker,Employment status: Temporary or agency worker
emplst_con,1.06.00.005,primary,Contractor,Contract or freelance worker,Employment status: Contract or freelance worker
emplst_sec,1.06.00.006,primary,External secondment,On secondment from outside the Civil Service,Employment status: On secondment from outside the Civil Service
occgrp_ops,1.07.01.001,primary,Operational role,Operational role,Occupation (grouped): Operational role
occgrp_crp,1.07.01.002,primary,Coporate services role,Coporate services role,Occupation (grouped): Coporate services role
occgrp_pol,1.07.01.003,primary,Policy role,Policy role,Occupation (grouped): Policy role
occgrp_spc,1.07.01.004,primary,Specialist role,Specialist role,Occupation (grouped): Specialist role
occgrp_oth,1.07.01.900,primary,Other role,Other role,Occupation (grouped): Other role
occdet_ops_adm,1.07.02.101,primary,Administration,Administration,Occupation: Administration
occdet_ops_cal,1.07.02.102,primary,Call-centre,Call-centre,Occupation: Call-centre
occdet_ops_cas,1.07.02.103,primary,Casework,Casework,Occupation: Casework
occdet_ops_frd,1.07.02.104,primary,Counter fraud,Counter fraud,Occupation: Counter fraud
occdet_ops_dbt,1.07.02.105,primary,Debt management,Debt management,Occupation: Debt management
occdet_ops_fac,1.07.02.106,primary,Face-to-face services,Face-to-face services,Occupation: Face-to-face services
occdet_ops_isp,1.07.02.107,primary,Inspection,Inspection,Occupation: Inspection
occdet_ops_inv,1.07.02.108,primary,Investigation,Investigation,Occupation: Investigation
occdet_ops_log,1.07.02.109,primary,Logistics,Logistics,Occupation: Logistics
occdet_ops_mgt,1.07.02.110,primary,Management,Management,Occupation: Management
occdet_ops_off,1.07.02.111,primary,Offender management,Offender management,Occupation: Offender management
occdet_ops_prc,1.07.02.112,primary,Processing,Processing,Occupation: Processing
occdet_ops_prp,1.07.02.113,primary,Property,Property,Occupation: Property
occdet_ops_tax,1.07.02.114,primary,Tax professional,Tax professional,Occupation: Tax professional
occdet_ops_tra,1.07.02.115,primary,Transport,Transport,Occupation: Transport
occdet_ops_oth,1.07.02.199,primary,Other operational role,Other operational role,Occupation: Other operational role
occdet_crp_cmc,1.07.02.201,primary,Commercial,Commercial,Occupation: Commercial
occdet_crp_dig,1.07.02.202,primary,Digital/IT,Digital/IT,Occupation: Digital/IT
occdet_crp_est,1.07.02.203,primary,Estates,Estates,Occupation: Estates
occdet_crp_fin,1.07.02.204,primary,Finance,Finance,Occupation: Finance
occdet_crp_hr,1.07.02.205,primary,HR,Human resources,Occupation: Human resources
occdet_crp_aud,1.07.02.206,primary,Internal audit,Internal audit,Occupation: Internal Audit
occdet_crp_kim,1.07.02.207,primary,Knowl. and information,Knowledge and information management,Occupation: Knowledge and information management
occdet_crp_prj,1.07.02.208,primary,Project delivery,Project delivery,Occupation: Project delivery
occdet_crp_prv,1.07.02.209,primary,PO and secretariat,Private office and secretariat,Occupation: Private office and secretariat
occdet_crp_sec,1.07.02.210,primary,Security,Security,Occupation: Security
occdet_crp_srt,1.07.02.211,primary,Strategy,Strategy,Occupation: Strategy
