uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
prqual_bel,2.09.03.002,primary,Below degree level,At least one parent has qualifications below degree level,Parents' qualifications: At least one parent has qualifications below degree level
prqual_noq,2.09.03.003,primary,No qualifications,Neither parent has qualifications,Parents' qualifications: Neither parent has qualifications
prqual_oth,2.09.03.990,secondary,Other qualification status,Other qualification status,Parents' qualifications: Other qualification status
prqual_pns,2.09.03.990,secondary,Prefer not to say,Prefer not to say,Parents' qualifications: Prefer not to say
prqual_nap,2.09.03.996,secondary,Not applicable,Not applicable,Parents' qualifications: Not applicable
prqual_dkn,2.09.03.998,secondary,Don't know,Don't know,Parents' qualifications: Don't know
sebslf_low,2.09.04.001,primary,Lower socio-economic background,Considers self to have lower socio-economic background to others,Self-reported background: Considers self to have lower socio-economic background to others
sebslf_not,2.09.04.002,primary,Not from a lower socio-economic background,Does not consider self to have lower socio-economic background to others,Self-reported background: Does not consider self to have lower socio-economic background to others
sebslf_dkn,2.09.04.998,secondary,Don't know,Don't know,Self-reported background: Don't know
sebslf_pns,2.09.04.999,secondary,Prefer not to say,Prefer not to say,Self-reported background: Prefer not to say
